Combination,Q2_0A,Q2_1A,Q2_2A,Q2_3A,Q2_5A,Q2_8A,Q2_0B,Q2_1B,Q2_2B,Q2_3B,Q2_5B,Q2_8B,TR_Pro,Core_pro_design,1st_UAS,2nd_UAS,3rd_UAS,miu_Lib_0A,reads_sum_0A,miu_Lib_0B,reads_sum_0B,miu_Lib_1A,reads_sum_1A,miu_Lib_1B,reads_sum_1B,miu_Lib_2A,reads_sum_2A,miu_Lib_2B,reads_sum_2B,miu_Lib_3A,reads_sum_3A,miu_Lib_3B,reads_sum_3B,miu_Lib_5A,reads_sum_5A,miu_Lib_5B,reads_sum_5B,miu_Lib_8A,reads_sum_8A,miu_Lib_8B,reads_sum_8B,miu_Lib_0,miu_Lib_1,miu_Lib_2,miu_Lib_3,miu_Lib_5,miu_Lib_8
pGPD-TATA_OP-UAS_AAC,21,15,49,35,5,16,21,2,9,15,5,18,pGPD,TATA_OP,A,A,C,-0.9191885627678951,166,-0.6922835768288796,167,-0.5842080860823657,137,-0.7373776562381463,261,-0.5078243442250195,157,-0.5779519153538263,140,-0.3535185992109091,153,-0.4932167576729369,153,-0.41070484964654896,147,-0.3285163799730074,166,-0.33118206315620563,158,-0.4922367194316747,237,-0.8057360697983873,-0.660792871160256,-0.5428881297894229,-0.423367678441923,-0.3696106148097782,-0.41170939129394013
pGPD-TATA_OP-UAS_ABC,74,32,115,39,7,50,57,7,12,65,91,8,pGPD,TATA_OP,A,B,C,-0.8367857382165917,403,-0.8530566124321565,379,-0.7053078038537572,281,-0.7984052071878283,369,-0.7799498923824791,393,-0.5748128750190489,249,-0.6110744532616464,286,-0.6996625289744056,194,-0.6881092552475975,300,-0.6597447304893698,240,-0.6010130445716441,253,-0.6851708290789118,335,-0.8449211753243742,-0.7518565055207928,-0.6773813837007641,-0.655368491118026,-0.6739269928684837,-0.6430919368252779
pGPD-TATA_OP-UAS_ABD,68,77,93,78,35,33,34,10,31,39,30,9,pGPD,TATA_OP,A,B,D,-1.1769191697544445,271,-1.0390748340139386,272,-1.1164575384137159,167,-1.1442207882127788,215,-1.1111842276833124,155,-1.0057240576969853,120,-0.7798461227522382,130,-0.977460549082136,146,-1.1688455534012154,148,-1.1199163004283859,187,-1.2422549732384658,172,-1.2026281236006684,235,-1.1079970018841916,-1.1303391633132474,-1.0584541426901488,-0.8786533359171871,-1.1443809269148006,-1.222441548419567
pGPD-TATA_OP-UAS_ADC,40,29,88,52,22,27,18,1,21,20,12,28,pGPD,TATA_OP,A,D,C,-0.971137834467898,382,-0.879263659970126,297,-0.6532877018120515,241,-0.7226156924958927,406,-0.621894368152132,371,-0.5984499196715931,298,-0.445607238849852,410,-0.46826839910630835,255,-0.4273117265756802,296,-0.4069614706512525,328,-0.4346801033409505,324,-0.45612427088647367,439,-0.925200747219012,-0.6879516971539721,-0.6101721439118626,-0.45693781897808017,-0.4171365986134663,-0.44540218711371204
pGPD-TATA_OP-UAS_BAC,23,38,84,425,19,37,27,10,101,24,120,59,pGPD,TATA_OP,B,A,C,-0.693753488221541,568,-0.5711745616961015,636,-0.5447935108952806,495,-0.5378534851565202,736,-0.5183976857110939,543,-0.41665597370452057,513,-0.3327449075996546,613,-0.22898366857501953,338,-0.3547864876988708,533,-0.48411126354194617,715,-0.37381995679053254,534,-0.47169770885538254,637,-0.6324640249588213,-0.5413234980259004,-0.46752682970780723,-0.28086428808733704,-0.41944887562040845,-0.42275883282295756
pGPD-TATA_OP-UAS_BAF,128,70,165,96,14,27,35,19,64,20,34,196,pGPD,TATA_OP,B,A,F,-0.47541456701926765,1586,-0.43523175283457216,1510,-0.6184886802989189,1189,-0.6043374009777772,1412,-0.4971937977293248,1002,-0.3930527258198942,963,-0.4100551144157533,1066,-0.46244667378196436,740,-0.4943537568955248,895,-0.4330438537396056,814,-0.5816852335681733,898,-0.4829330400797198,859,-0.4553231599269199,-0.611413040638348,-0.4451232617746095,-0.43625089409885887,-0.4636988053175652,-0.5323091368239465
pGPD-TATA_OP-UAS_BBC,105,116,132,426,314,261,97,309,237,112,83,216,pGPD,TATA_OP,B,B,C,-0.9829294316843913,1003,-0.9828628205818353,598,-0.7345266541628284,857,-0.798904329860313,939,-0.658764000183216,930,-0.5303020230763513,889,-0.5988839458912756,748,-0.5623789081348654,575,-0.5554327653647977,844,-0.6013523254719202,923,-0.6076697509106579,945,-0.6921323312166986,1097,-0.9828961261331133,-0.7667154920115706,-0.5945330116297837,-0.5806314270130705,-0.5783925454183589,-0.6499010410636783
pGPD-TATA_OP-UAS_BBF,35,82,90,292,11,2,1,3,0,5,161,8,pGPD,TATA_OP,B,B,F,-0.9834282077499121,185,-0.810867253518348,179,-0.9700908103314289,251,-0.8530819223247514,193,-0.8884062704066186,271,-0.7834209185380239,137,-0.8549735440436709,251,-0.9080166871951103,150,-0.8763421787011223,237,-0.9463982408616685,233,-0.8299430501210027,181,-0.9118913096912127,224,-0.89714773063413,-0.9115863663280901,-0.8359135944723213,-0.8814951156193906,-0.9113702097813954,-0.8709171799061077
pGPD-TATA_OP-UAS_BDC,70,43,145,307,63,57,69,23,127,45,43,24,pGPD,TATA_OP,B,D,C,-0.9266509536520151,489,-0.8955304855987634,567,-0.6814999291083123,426,-0.6565126125863534,639,-0.6120761006725393,628,-0.5142497353839761,504,-0.46210209680645187,639,-0.5493156141840655,439,-0.28869221183091653,492,-0.4217799835681565,626,-0.3873801361160586,592,-0.4951956957633151,658,-0.9110907196253892,-0.6690062708473328,-0.5631629180282577,-0.5057088554952587,-0.3552360976995365,-0.44128791593968686
pGPD-TATA_OP-UAS_BDD,63,18,104,8,10,1,25,2,38,17,9,41,pGPD,TATA_OP,B,D,D,-0.906939468823919,500,-0.8658555262124147,405,-0.86724258989926,334,-0.7804138698673676,608,-0.7984010355178168,229,-0.6722982240675397,245,-0.8849621458181878,250,-0.8239809536174619,201,-0.679162104864425,222,-0.7838946903134812,317,-0.772568365454669,251,-0.7494910837405108,364,-0.8863974975181668,-0.8238282298833137,-0.7353496297926783,-0.8544715497178248,-0.731528397588953,-0.7610297245975899
