,Combination,P2,P3,P4,P5,P6,P7,P8,P9
0,pGPD-TATA_OP-UAS_AAA,0,0,0,0,0,0,0,0
1,pGPD-TATA_OP-UAS_AAB,0,0,0,0,0,0,0,0
2,pGPD-TATA_OP-UAS_AAC,0,6,10,8,9,8,15,1
3,pGPD-TATA_OP-UAS_AAD,0,1,1,0,0,9,1,0
4,pGPD-TATA_OP-UAS_AAE,0,0,0,0,0,2,4,0
5,pGPD-TATA_OP-UAS_AAF,0,2,3,0,6,34,9,2
6,pGPD-TATA_OP-UAS_ABA,0,0,0,0,0,0,0,0
7,pGPD-TATA_OP-UAS_ABB,0,0,0,0,0,0,0,0
8,pGPD-TATA_OP-UAS_ABC,1,13,22,20,59,80,29,8
9,pGPD-TATA_OP-UAS_ABD,2,16,13,7,13,20,42,27
10,pGPD-TATA_OP-UAS_ABE,0,0,0,0,0,4,1,1
11,pGPD-TATA_OP-UAS_ABF,0,4,6,1,2,27,18,5
12,pGPD-TATA_OP-UAS_ACA,0,0,0,0,0,0,3,1
13,pGPD-TATA_OP-UAS_ACB,0,0,0,0,0,0,0,0
14,pGPD-TATA_OP-UAS_ACC,0,2,9,4,14,28,18,9
15,pGPD-TATA_OP-UAS_ACD,0,2,3,0,2,30,14,4
16,pGPD-TATA_OP-UAS_ACE,0,1,2,1,5,11,1,1
17,pGPD-TATA_OP-UAS_ACF,0,5,1,0,0,32,10,2
18,pGPD-TATA_OP-UAS_ADA,0,0,0,0,0,2,2,1
19,pGPD-TATA_OP-UAS_ADB,0,0,0,0,0,0,0,0
20,pGPD-TATA_OP-UAS_ADC,2,7,19,23,47,52,31,21
21,pGPD-TATA_OP-UAS_ADD,0,1,3,2,0,3,13,4
22,pGPD-TATA_OP-UAS_ADE,0,0,0,0,0,0,0,0
23,pGPD-TATA_OP-UAS_ADF,3,6,2,2,1,15,19,10
24,pGPD-TATA_OP-UAS_AEA,0,1,0,0,0,0,1,2
25,pGPD-TATA_OP-UAS_AEB,0,0,0,0,0,1,0,0
26,pGPD-TATA_OP-UAS_AEC,0,7,8,10,24,31,3,5
