,Combination,P2,P3,P4,P5,P6,P7,P8,P9
0,pGPD-TATA_OP-UAS_AAA,0,0,0,0,0,0,0,0
1,pGPD-TATA_OP-UAS_AAB,0,0,0,0,0,0,0,0
2,pGPD-TATA_OP-UAS_AAC,0,3,27,7,8,28,17,5
3,pGPD-TATA_OP-UAS_AAD,0,0,0,0,0,3,0,0
4,pGPD-TATA_OP-UAS_AAE,0,3,0,0,0,0,1,0
5,pGPD-TATA_OP-UAS_AAF,1,1,8,0,3,20,5,1
6,pGPD-TATA_OP-UAS_ABA,0,0,1,0,0,0,0,0
7,pGPD-TATA_OP-UAS_ABB,0,0,0,0,0,0,0,0
8,pGPD-TATA_OP-UAS_ABC,5,3,18,7,53,32,40,2
9,pGPD-TATA_OP-UAS_ABD,2,13,28,5,8,15,7,27
10,pGPD-TATA_OP-UAS_ABE,0,0,0,0,2,2,0,0
11,pGPD-TATA_OP-UAS_ABF,0,3,6,0,3,23,2,8
12,pGPD-TATA_OP-UAS_ACA,0,0,3,0,0,2,0,1
13,pGPD-TATA_OP-UAS_ACB,0,0,0,0,0,0,0,0
14,pGPD-TATA_OP-UAS_ACC,0,7,7,3,28,26,12,0
15,pGPD-TATA_OP-UAS_ACD,0,4,1,0,4,21,4,1
16,pGPD-TATA_OP-UAS_ACE,0,0,0,0,4,1,0,0
17,pGPD-TATA_OP-UAS_ACF,0,0,3,0,1,24,7,1
18,pGPD-TATA_OP-UAS_ADA,0,1,0,0,0,1,1,0
19,pGPD-TATA_OP-UAS_ADB,0,0,0,0,0,0,0,0
20,pGPD-TATA_OP-UAS_ADC,1,8,40,12,31,57,8,5
21,pGPD-TATA_OP-UAS_ADD,0,0,0,0,0,3,1,2
22,pGPD-TATA_OP-UAS_ADE,0,0,0,0,0,0,0,0
23,pGPD-TATA_OP-UAS_ADF,0,2,4,0,8,14,7,5
24,pGPD-TATA_OP-UAS_AEA,1,3,0,0,1,1,0,2
25,pGPD-TATA_OP-UAS_AEB,0,0,0,0,0,0,0,0
26,pGPD-TATA_OP-UAS_AEC,0,1,18,1,20,13,0,2
