,Combination,P2,P3,P4,P5,P6,P7,P8,P9
0,pGPD-TATA_OP-UAS_AAA,0,0,0,0,0,0,0,0
1,pGPD-TATA_OP-UAS_AAB,0,0,0,0,0,0,0,0
2,pGPD-TATA_OP-UAS_AAC,21,15,49,35,5,16,0,0
3,pGPD-TATA_OP-UAS_AAD,2,0,4,2,1,0,0,0
4,pGPD-TATA_OP-UAS_AAE,0,8,6,18,2,0,0,0
5,pGPD-TATA_OP-UAS_AAF,2,10,31,18,5,3,0,0
6,pGPD-TATA_OP-UAS_ABA,0,2,0,0,0,0,0,0
7,pGPD-TATA_OP-UAS_ABB,0,0,0,0,0,0,0,0
8,pGPD-TATA_OP-UAS_ABC,74,32,115,39,7,50,0,0
9,pGPD-TATA_OP-UAS_ABD,68,77,93,78,35,33,0,0
10,pGPD-TATA_OP-UAS_ABE,0,2,1,0,0,2,0,0
11,pGPD-TATA_OP-UAS_ABF,7,7,17,12,7,8,0,0
12,pGPD-TATA_OP-UAS_ACA,0,2,1,1,1,0,0,0
13,pGPD-TATA_OP-UAS_ACB,0,0,0,0,0,0,0,0
14,pGPD-TATA_OP-UAS_ACC,20,15,20,18,2,14,0,0
15,pGPD-TATA_OP-UAS_ACD,10,6,19,8,10,10,0,0
16,pGPD-TATA_OP-UAS_ACE,0,1,1,0,0,1,0,0
17,pGPD-TATA_OP-UAS_ACF,12,54,7,6,4,11,0,0
18,pGPD-TATA_OP-UAS_ADA,0,1,0,0,1,1,0,0
19,pGPD-TATA_OP-UAS_ADB,0,0,0,0,0,0,0,0
20,pGPD-TATA_OP-UAS_ADC,40,29,88,52,22,27,0,0
21,pGPD-TATA_OP-UAS_ADD,7,6,20,4,1,5,0,0
22,pGPD-TATA_OP-UAS_ADE,0,0,0,0,0,0,0,0
23,pGPD-TATA_OP-UAS_ADF,10,7,23,8,8,5,0,0
24,pGPD-TATA_OP-UAS_AEA,0,4,9,3,1,7,0,0
25,pGPD-TATA_OP-UAS_AEB,0,0,0,0,0,0,0,0
26,pGPD-TATA_OP-UAS_AEC,5,4,7,5,6,2,0,0
