,Combination,P2,P3,P4,P5,P6,P7,P8,P9
0,pGPD-TATA_OP-UAS_AAA,0,0,0,0,0,0,0,0
1,pGPD-TATA_OP-UAS_AAB,0,0,0,0,0,0,0,0
2,pGPD-TATA_OP-UAS_AAC,21,2,9,15,5,18,0,0
3,pGPD-TATA_OP-UAS_AAD,0,0,0,1,0,0,0,0
4,pGPD-TATA_OP-UAS_AAE,7,0,0,0,0,0,0,0
5,pGPD-TATA_OP-UAS_AAF,6,1,7,61,14,3,0,0
6,pGPD-TATA_OP-UAS_ABA,0,0,0,0,0,0,0,0
7,pGPD-TATA_OP-UAS_ABB,0,0,0,0,0,0,0,0
8,pGPD-TATA_OP-UAS_ABC,57,7,12,65,91,8,0,0
9,pGPD-TATA_OP-UAS_ABD,34,10,31,39,30,9,0,0
10,pGPD-TATA_OP-UAS_ABE,1,0,0,1,0,3,0,0
11,pGPD-TATA_OP-UAS_ABF,4,2,8,8,2,3,0,0
12,pGPD-TATA_OP-UAS_ACA,0,0,0,1,0,1,0,0
13,pGPD-TATA_OP-UAS_ACB,0,0,0,0,0,0,0,0
14,pGPD-TATA_OP-UAS_ACC,9,0,4,62,4,26,0,0
15,pGPD-TATA_OP-UAS_ACD,1,0,64,4,7,6,0,0
16,pGPD-TATA_OP-UAS_ACE,2,1,0,0,0,2,0,0
17,pGPD-TATA_OP-UAS_ACF,16,2,10,129,7,119,0,0
18,pGPD-TATA_OP-UAS_ADA,0,0,0,0,0,0,0,0
19,pGPD-TATA_OP-UAS_ADB,0,0,0,0,0,0,0,0
20,pGPD-TATA_OP-UAS_ADC,18,1,21,20,12,28,0,0
21,pGPD-TATA_OP-UAS_ADD,1,0,0,0,3,0,0,0
22,pGPD-TATA_OP-UAS_ADE,0,0,0,0,0,0,0,0
23,pGPD-TATA_OP-UAS_ADF,3,2,5,4,5,9,0,0
24,pGPD-TATA_OP-UAS_AEA,2,0,3,0,1,3,0,0
25,pGPD-TATA_OP-UAS_AEB,1,0,0,0,0,0,0,0
26,pGPD-TATA_OP-UAS_AEC,5,0,6,2,4,7,0,0
